content,scheduled_at,image,date,time,audience_window,pillar,post_id,characters
"The industry spent ten years telling clients volume was the answer, then blamed AI when volume stopped working.",2026-09-08 19:15,quantumcx-x-160.png,2026-09-08,19:15,US morning / UK afternoon,VIEW,160,111
"Reviewing generated pages is not quality control. It is market research you get for free, and skipping it is the actual cost of automation.",2026-09-09 19:15,quantumcx-x-179.png,2026-09-09,19:15,US morning / UK afternoon,VIEW,179,139
"Publish the ugly, useful page. The beautiful page that says nothing has never earned a call.",2026-09-10 19:15,quantumcx-x-217.png,2026-09-10,19:15,US morning / UK afternoon,CRAFT,217,92
"Local service businesses do not compete nationally. They compete street by street, and there is no version of covering that properly that involves twelve pages.",2026-09-11 19:15,quantumcx-x-079.png,2026-09-11,19:15,US morning / UK afternoon,PAIN,79,160
"Reporting theatre: a dashboard with fourteen widgets, none of which answer the only question the client has, which is whether more people are calling.",2026-09-12 19:15,quantumcx-x-090.png,2026-09-12,19:15,US morning / UK afternoon,PAIN,90,150
"If a tool promises rankings, it is either lying or it has confused a leading indicator for a result.

Nobody controls rankings. You control what gets published and whether it deserved to be.",2026-09-13 19:15,quantumcx-x-038.png,2026-09-13,19:15,US morning / UK afternoon,VIEW,38,190
"Give every programmatic set one page that answers the category question properly, and link the rest to it. A set without a centre is just a pile.",2026-09-14 19:15,quantumcx-x-273.png,2026-09-14,19:15,US morning / UK afternoon,CRAFT,273,145
"A project is a client site. One on Starter, three on Growth, ten on Scale.

Priced the way agency work is actually shaped, rather than per seat, which has never described how an agency uses a tool.",2026-09-15 19:15,quantumcx-x-107.png,2026-09-15,19:15,US morning / UK afternoon,MECH,107,197
"The businesses winning AI citations right now are not the biggest. They are the ones whose pages happen to answer a specific question in a specific place, plainly.",2026-09-16 19:15,quantumcx-x-148.png,2026-09-16,19:15,US morning / UK afternoon,AEO,148,163
"Search is becoming two surfaces: the results, and the answer.

Optimising for one and ignoring the other is the 2026 version of ignoring mobile in 2013. It will look obvious in hindsight and expensive right now.",2026-09-17 19:15,quantumcx-x-063.png,2026-09-17,19:15,US morning / UK afternoon,AEO,63,211
"Every page goes through the same four steps, and the third one has a person in it.

That is the entire product philosophy. Everything else is implementation detail.",2026-09-18 19:15,quantumcx-x-046.png,2026-09-18,19:15,US morning / UK afternoon,MECH,46,164
"Your client asks why they are not showing up.

You check: they rank fine.

The query is being answered in a box above the results, sourced from somebody else's page. That is not a ranking problem, and ranking tools will not show it to you.",2026-09-19 19:15,quantumcx-x-004.png,2026-09-19,19:15,US morning / UK afternoon,AEO,4,239
"When a client asks what happens if they leave:

""Everything published stays yours and stays live."" If your tooling cannot let you say that, change the tooling.",2026-09-20 19:15,quantumcx-x-235.png,2026-09-20,19:15,US morning / UK afternoon,CLIENT,235,159
"Scope creep in SEO almost never arrives as a request.

It arrives as a page that should exist, that nobody scoped, that you write anyway because leaving it out looks worse than absorbing it.",2026-09-21 19:15,quantumcx-x-074.png,2026-09-21,19:15,US morning / UK afternoon,PAIN,74,190
"You cannot sell a client 400 pages.

You can sell them coverage of the 40 places they work and the 10 things they do, and explain that this is what that looks like when written out.

Same deliverable. One of those framings survives the pricing conversation.",2026-09-22 19:15,quantumcx-x-018.png,2026-09-22,19:15,US morning / UK afternoon,PAIN,18,257
