caption,scheduled_at,image,alt_text,date,time,audience_window,pillar,post_id
"The industry spent ten years telling clients volume was the answer, then blamed AI when volume stopped working.

I might be wrong about this one. If you see it differently, the comments are the interesting part.

#SEO #ContentStrategy #DigitalMarketing #MarketingStrategy",2026-09-08 18:30,quantumcx-ig-160.png,"QuantumCX: The industry spent ten years telling clients volume was the answer, then blamed AI when volume stopped working",2026-09-08,18:30,US morning / UK afternoon,VIEW,160
"Reviewing generated pages is not quality control. It is market research you get for free, and skipping it is the actual cost of automation.

I might be wrong about this one. If you see it differently, the comments are the interesting part.

#MarketingStrategy #SEO #DigitalMarketing #ContentStrategy",2026-09-09 18:30,quantumcx-ig-179.png,"QuantumCX: Reviewing generated pages is not quality control. It is market research you get for free, and skipping it is t",2026-09-09,18:30,US morning / UK afternoon,VIEW,179
"Publish the ugly, useful page. The beautiful page that says nothing has never earned a call.

Practical enough to use on the next set of pages you brief. Save it if it is.

#ContentMarketing #ContentDesign #SEO #SEOTips",2026-09-10 18:30,quantumcx-ig-217.png,"QuantumCX: Publish the ugly, useful page. The beautiful page that says nothing has never earned a call.",2026-09-10,18:30,US morning / UK afternoon,CRAFT,217
"Local service businesses do not compete nationally. They compete street by street, and there is no version of covering that properly that involves twelve pages.

If this is the constraint in your agency right now, it is worth naming out loud in your next planning session.

#AgencyGrowth #MarketingAgency #AgencyLife #SEO",2026-09-15 18:30,quantumcx-ig-079.png,"QuantumCX: Local service businesses do not compete nationally. They compete street by street, and there is no version of ",2026-09-15,18:30,US morning / UK afternoon,PAIN,79
"Reporting theatre: a dashboard with fourteen widgets, none of which answer the only question the client has, which is whether more people are calling.

If this is the constraint in your agency right now, it is worth naming out loud in your next planning session.

#DigitalMarketing #MarketingAgency #SEO #AgencyGrowth",2026-09-16 18:30,quantumcx-ig-090.png,"QuantumCX: Reporting theatre: a dashboard with fourteen widgets, none of which answer the only question the client has, w",2026-09-16,18:30,US morning / UK afternoon,PAIN,90
"If a tool promises rankings, it is either lying or it has confused a leading indicator for a result.

Nobody controls rankings. You control what gets published and whether it deserved to be.

I might be wrong about this one. If you see it differently, the comments are the interesting part.

#ContentStrategy #DigitalMarketing #MarketingStrategy #SEO",2026-09-17 18:30,quantumcx-ig-038.png,"QuantumCX: If a tool promises rankings, it is either lying or it has confused a leading indicator for a result.",2026-09-17,18:30,US morning / UK afternoon,VIEW,38
"Give every programmatic set one page that answers the category question properly, and link the rest to it. A set without a centre is just a pile.

Practical enough to use on the next set of pages you brief. Save it if it is.

#LocalSEO #ContentMarketing #ContentDesign #SEO",2026-09-22 18:30,quantumcx-ig-273.png,"QuantumCX: Give every programmatic set one page that answers the category question properly, and link the rest to it. A s",2026-09-22,18:30,US morning / UK afternoon,CRAFT,273
"A project is a client site. One on Starter, three on Growth, ten on Scale.

Priced the way agency work is actually shaped, rather than per seat, which has never described how an agency uses a tool.

I build QuantumCX in the open - every credit cost and plan limit is published rather than quoted on a call.

#SEO #SaaS #MarketingTechnology #ContentOperations",2026-09-23 18:30,quantumcx-ig-107.png,"QuantumCX: A project is a client site. One on Starter, three on Growth, ten on Scale.",2026-09-23,18:30,US morning / UK afternoon,MECH,107
"The businesses winning AI citations right now are not the biggest. They are the ones whose pages happen to answer a specific question in a specific place, plainly.

Worth running against one of your own clients this week. It takes about ninety seconds to check.

#AEO #SEO #SearchMarketing #GenerativeAI",2026-09-24 18:30,quantumcx-ig-148.png,QuantumCX: The businesses winning AI citations right now are not the biggest. They are the ones whose pages happen to ans,2026-09-24,18:30,US morning / UK afternoon,AEO,148
"Search is becoming two surfaces: the results, and the answer.

Optimising for one and ignoring the other is the 2026 version of ignoring mobile in 2013. It will look obvious in hindsight and expensive right now.

Worth running against one of your own clients this week. It takes about ninety seconds to check.

#AISearch #SearchMarketing #AEO #GenerativeAI",2026-09-29 18:30,quantumcx-ig-063.png,"QuantumCX: Search is becoming two surfaces: the results, and the answer.",2026-09-29,18:30,US morning / UK afternoon,AEO,63
